category,metric,value,type
ensembl,sequences_processed,1,int
ensembl,annotations_generated,1,int
ensembl,avg_sequence_length,1000,int
ensembl,gc_content_avg,0.5,float
cdhit,input_sequences,1,int
cdhit,clusters_formed,2,int
cdhit,reduction_ratio,0.0,float
cdhit,largest_cluster_size,1,int
diamond,alignments_found,6,int
diamond,avg_identity,80.0,float64
diamond,avg_evalue,1e-10,float64
diamond,significant_hits,0,int
interproscan,domains_identified,10,int
interproscan,proteins_with_domains,2,int
interproscan,avg_confidence,0.9108632145425227,float64
interproscan,go_terms_assigned,0,int
rfam,rna_families_found,3,int
rfam,structures_predicted,3,int
rfam,avg_structure_confidence,0.9,float64
rfam,covariance_models_used,3,int
mrnaid,sequences_optimized,10,int
mrnaid,avg_cai_improvement,0.15,float
mrnaid,avg_stability_score,0.85,float
mrnaid,expression_enhancement,1.2,float
dnachisel,sequences_optimized,10,int
dnachisel,avg_optimization_score,0.92,float
dnachisel,success_rate,0.95,float
dnachisel,constraints_satisfied,8,int
iedb,proteins_analyzed,10,int
iedb,total_epitopes,45,int
iedb,avg_mhc_i_epitopes,4.5,float
iedb,avg_immunogenicity,0.75,float
crispor,guides_designed,30,int
crispor,avg_efficiency,0.82,float
crispor,avg_specificity,0.88,float
crispor,high_quality_guides,25,int
benchling,final_designs,10,int
benchling,avg_performance,0.91,float
benchling,high_performance_designs,8,int
benchling,design_success_rate,0.95,float
